Pays;Type;Metal;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Australie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;1996;2138;1802;1704;2696;2763;2562;2004;5198;5736;5325;;;;;;;;;;;
Botswana;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;334;335;332;308;325;269;294;223;326;303;242;;;;;;;;;;;
Brézil;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;1500;2500;2900;4100;4400;4300;4200;4300;1400;1100;1311;;;;;;;;;;;
Canada;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;5709;5861;5323;5298;5326;5148;4327;5060;5767;7115;8692;;;;;;;;;;;
Chine;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;200;40;100;91;150;1004;707;1253;2104;1840;6100;;;;;;;;;;;
République démocratique du Congo;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;4000;5000;6000;7000;12000;14500;14500;20200;24500;27100;17886;;;;;;;;;;;
Cuba;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;2500;2700;2600;2900;3908;3856;3643;3554;4798;5602;4549;;;;;;;;;;;
Finlande;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;64;;;;;;;;;;;
Indonésie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;650;650;650;650;650;650;650;650;650;650;650;;;;;;;;;;;
Madagascar;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;
Maroc;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;780;287;882;1001;1337;1335;1391;1600;1600;1405;1573;;;;;;;;;;;
Nouvelle-Calédonie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;2964;3036;2803;2620;3540;2780;2602;2726;1769;1629;1620;;;;;;;;;;;
Philippines;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;
Russie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;4000;3700;4000;4100;4600;4200;4654;4527;4748;4759;3587;;;;;;;;;;;
Afrique du sud;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;316;296;306;397;373;366;271;309;268;267;307;;;;;;;;;;;
Ouganda;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;638;674;698;;;;;;;;;;;
Zambie;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;3949;5011;3946;3342;4665;6144;6620;5791;5422;4665;4335;;;;;;;;;;;
Zimbabwe;Production;Cobalt;;;;;;;;;;;;;;;;;;;;;;;126;100;129;79;95;74;44;59;304;26;29;;;;;;;;;;;
Brézil;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;731;958;958;1173;;;;;;;;;;;
Chine;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;63250;75000;80500;73000;80600;88000;92000;98300;119000;133000;120000;;;;;;;;;;;
Inde;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;5000;3200;1698;1890;2651;2856;2891;149;93;45;35;;;;;;;;;;;
Madagascar;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malaisie;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;688;517;1147;818;643;441;795;1683;320;894;682;;;;;;;;;;;
Malaisie;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;79;;;;;0;;;;;0;;;;;;;;;;;
États-Unis;Production;Terre rare;;;;;;;;;;;;;;;;;;;;;;;10000;5000;5000;5000;5000;5000;0;0;0;0;;;;;;;;;;;;
Australie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;1010;1150;1300;1300;1700;2300;2300;2400;2500;1400;890;;;;;;;;;;;
Brézil;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;180;370;380;460;520;410;440;490;470;380;420;;;;;;;;;;;
Brézil;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;14;23;84;;;;;;;;;;;;;;;;;;
Brézil;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;42255;51000;42100;63117;70000;60000;66000;79000;146000;175000;215000;;;;;;;;;;;
Burundi;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;46;30;42;31;123;72;24;23;43;16;52;;;;;;;;;;;
Canada;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;5700;5600;5800;5400;6700;8100;8100;8600;8800;9800;10000;;;;;;;;;;;
Canada;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;180;190;173;190;277;215;203;209;233;204;167;;;;;;;;;;;
Chine;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;175;201;217;357;350;350;350;350;350;350;;;;;;;;;;;
République démocratique du Congo;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;113;74;124;52;267;;;;;;;;;;;
Ethiopie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;80;80;50;66;47;55;58;71;93;109;117;;;;;;;;;;;
Madagascar;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;40;;;0;;;;;;;;;;;
Malaisie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;391;521;675;969;8430;2298;2619;121;552;93;52;;;;;;;;;;;
Mozambique;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;0;27;47;189;712;281;95;196;;;;;;;;;;;
Nigeria;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;496;9;;;;;;;45;387;180;;;;;;;;;;;
Nigeria;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;25;25;25;25;25;25;26;24;25;25;;;;;;;;;;;;
Russie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;639;656;688;;;;;;;;;;;
Russie;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;38;48;;;;;;;;;;;
Rwanda;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;269;378;147;561;241;96;187;220;276;996;547;;;;;;;;;;;
Ouganda;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;;0;0;3;11;6;16;;;;;;;;;;;;;;;
Zimbabwe;Production;Tantale;;;;;;;;;;;;;;;;;;;;;;;1;6;3;4;30;26;231;27;;;;;;;;;;;;;;
Belgique;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;30;;;;;;;;;;;
Brézil;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;50;;;;;;;;;;;
Chine;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;370;;;;;;;;;;;
Allemagne;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;10;;;;;;;;;;;
Italie;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;
Japon;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55;60;;;;;;;;;;;
Corée du Sud;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;100;;;;;;;;;;;
Pays-Bas;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;
Perou;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;;;;;;;;;;;
Russie;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;3;;;;;;;;;;;
Royaume-Uni;Production;Indium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;
Algerie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1500;1500;1500;1500;1700;1400;500;0;800;500;500;;;;;;;;;;;
Argentine;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;52550;35768;73785;78271;152802;125878;133907;172400;263766;245124;255567;;;;;;;;;;;
Armenie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;5500;4000;4000;4000;4000;6900;;;;;;;;;;;
Australie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1106000;1473000;1715000;2059000;1970000;2077000;1868000;2209000;2416646;1727856;1878620;;;;;;;;;;;
Azerbaijan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
Bolivie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;387200;403961;422540;433590;409720;460900;466300;412550;420300;472210;525000;;;;;;;;;;;
Brézil;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;10000;10000;10000;10000;10000;10000;6496;6192;6672;10000;18620;;;;;;;;;;;
Bulgarie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;31530;23790;58726;54534;56806;60000;60000;45000;55000;65000;55000;;;;;;;;;;;
Burkina Faso;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;100;;;;;;;;;;;
Myanmar;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;4040;3643;2159;2019;700;800;800;1100;2300;700;200;;;;;;;;;;;
Canada;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1223953;1195943;1246357;1212386;1320030;1407558;1310153;1337465;1123837;995024;860449;;;;;;;;;;;
Chili;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1091311;1340199;1380711;1242194;1348667;1210473;1312789;1360140;1399539;1607164;1936465;;;;;;;;;;;
Chine;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;1300000;1299000;1378714;1569145;2013250;2200000;2400000;2450000;2500000;2600000;2700000;;;;;;;;;;;
Colombie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;3515;5218;7593;7970;7242;6986;9511;8542;7142;8399;9766;;;;;;;;;;;
République démocratique du Congo;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;500;500;2100;35700;69700;53600;67600;76200;;;;;;;;;;;
Costa Rica;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;196;486;331;;;;;;;;;;;
République dominicaine;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;12407;7409;3140;;;;;;0;0;0;;;;;;;;;;;
Équateur;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;372;283;159;449;;;;;;;;;;;
Ethiopie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;200;500;689;1018;3545;900;999;1133;883;902;700;;;;;;;;;;;
Fidji;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2654;1787;2159;1475;2109;1901;1247;1523;1418;494;0;;;;;;;;;;;
Finlande;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;10324;9753;11968;11946;13244;12647;10422;11720;;;;;;;;;;;
France;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2402;1027;1140;723;929;709;495;682;;;;;;;;;;;;;;
Ghana;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2700;3600;4000;2100;1900;2129;3080;3035;3571;3142;3300;;;;;;;;;;;
Grèce;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;37300;44000;38976;30644;62400;74800;7000;0;2300;24700;38300;;;;;;;;;;;
Groenland;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;
Guatemala;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;7074;49719;88247;;;;;;;;;;;
Honduras;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;42809;42898;47853;53195;50840;56176;51985;48792;54165;55036;54982;;;;;;;;;;;
Inde;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;53925;55409;53641;46150;57675;59502;37870;10955;27961;53271;80697;;;;;;;;;;;
Indonésie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;279161;348974;292331;314032;348455;293520;285206;262935;328749;261398;268967;;;;;;;;;;;
Iran;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;20000;18800;21400;20000;20000;23000;23000;25000;25000;30000;40000;;;;;;;;;;;
ireland;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;13300;10800;10400;16700;8700;7500;8500;5200;10500;12900;9650;;;;;;;;;;;
Italie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;4400;2500;2000;1000;1000;1000;200;100;100;;;;;;;;;;;;;
Japon;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;87180;94472;93441;103587;82452;103203;99162;85999;54100;11500;4059;;;;;;;;;;;
Kazakhstan;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;389576;535987;645609;895077;943027;855612;804874;773300;883200;806083;722927;;;;;;;;;;;
Corée du Sud;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;;0;58;6802;15417;50866;3500;1500;1400;;;;;;;;;;;
Corée du Nord;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;50000;50000;50000;50000;50000;50000;20000;20000;20000;20000;50000;;;;;;;;;;;
Laos;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;3850;2735;3405;6331;4499;;;;;;;;;;;
Malaisie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;9647;7285;2744;4;3;0;0;364;402;410;296;;;;;;;;;;;
Mexique;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;2674979;2686021;2466981;2620495;2759985;2746989;2568877;2569478;2894161;3028395;3135430;;;;;;;;;;;
Mongolie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;21000;21000;21000;21000;21000;21000;20471;20427;19888;20378;20455;;;;;;;;;;;
Maroc;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;261000;307000;277900;289000;280700;276800;200430;181000;185700;202300;177712;;;;;;;;;;;
Namibie;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;41000;13980;0;9300;20396;43632;29367;27153;34102;31307;7902;;;;;;;;;;;
Nouvelle-Zélande;Production;Argent;;;;;;;;;;;;;;;;;;;;;;;31684;22681;24308;22886;27118;28725;29932;30100;43003;27221;8553;;;;;;;;;;;
